block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,percent_staked,atom_staked_v,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,inflation_rate,total_supply,n_validators,timestamp,sign_ratio,total_block_fees
12689935,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.797865959183000000,174796.654028718355304904,0.130667315211442160,314518950646017,175,2022-11-02T16:40:08.352962467Z,1.0,21154.0
12689936,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.877998787652000000,175319.343048644035606874,0.130667334989208248,314518969498012,175,2022-11-02T16:40:14.781414788Z,1.0,12006.0
12689937,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.918043186243000000,175580.543955345539334128,0.130667344878101158,314518978924011,175,2022-11-02T16:40:21.512353493Z,1.0,11393.0
12689939,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,26.998184386500000000,176103.287582624623722508,0.130667364655900658,314518997776012,175,2022-11-02T16:40:34.404848888Z,1.0,13909.0
12689940,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.038243695371000000,176364.585745840845066054,0.130667374544808642,314519007202014,175,2022-11-02T16:40:40.798025985Z,1.0,14904.0
12689942,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.078281868445000000,176625.746044855100389636,0.130667384433723203,314519016628017,175,2022-11-02T16:40:53.865396329Z,1.0,0.0
12689944,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.198511718361000000,177409.979218931322021708,0.130667414100497495,314519044906032,175,2022-11-02T16:41:06.715103917Z,1.0,0.0
12689946,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.238507806941000000,177670.865009939930074865,0.130667423989433938,314519054332039,175,2022-11-02T16:41:15.827709435Z,1.0,12752.0
12689947,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.318619187306000000,178193.414128543352982451,0.130667443767563747,314519073184056,175,2022-11-02T16:41:22.308421874Z,1.0,15338.0
12689949,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.398722332580000000,178715.909531435855361905,0.130667463545956928,314519092036077,175,2022-11-02T16:41:35.297051528Z,1.0,17574.0
12689952,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.478911366004000000,179238.965164064089159034,0.130667483324387659,314519110888102,175,2022-11-02T16:41:59.476013229Z,1.0,0.0
12689954,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,64.11,75012,0.020000000000000000,0.010000000000000000,0.040000000000000000,8.0,27.558980717077000000,179761.240134734040393131,0.130667503102950268,314519129740131,175,2022-11-02T16:42:12.409358552Z,1.0,9730.0
